y_m,chord_m,Lprime_Npm,shear_N,bendingMoment_Nm,torque_Nm,curvature_1pm,slope_rad,deflection_m,thetaAero_deg,thetaCoupling_deg,thetaTotal_deg,EI_Nm2,GJ_Nm2,Kbt_indicator_Nm2
0,0.55,191.787353562042,450,570.451223692329,20.5746022545907,0.0120897997942989,0,0,0,0,0,47184.5054011011,35865.1001097714,1119.63975364559
0.15,0.539,191.547469348634,421.249888281699,505.107482071202,19.0091487763054,0.0113737821287214,0.00175976864422653,0.00013198264831699,0.00488504340631311,-0.00314764019264623,0.00173740321366689,44409.8081319571,33755.9453025159,1053.79904300431
0.3,0.528,190.826007390157,392.57187752629,444.070849635603,17.4791471421985,0.0106374260544758,0.00341060925796633,0.000519760990981454,0.009672046831904,-0.00610045324103921,0.0035715935908648,41746.0809937902,31731.1452107187,990.591539367185
0.45,0.517,189.617470804088,364.038616661722,387.325062571502,15.9882344098907,0.009882995499176,0.00494964087449021,0.00114677975091569,0.0143455255590873,-0.0088532853813763,0.00549224017771105,39191.0592900498,29788.9783095743,929.963503815746
0.6,0.506,187.912462138301,335.723871691042,334.842875945045,14.5398648730329,0.00911323599324647,0.0063743582364219,0.0019960796842341,0.0188891147973413,-0.0114016547535422,0.00748746004379906,36742.4783241854,27927.7230742776,871.861197431547
0.75,0.495,185.697306589746,307.703139036439,286.585850140484,13.1373358285037,0.00833145062547104,0.00768270973282571,0.00305035978192767,0.0232855288094572,-0.0137418908006444,0.00954363800881277,34398.0733996465,26145.6579800233,816.230881296136
0.9,0.484,182.953474898844,280.054330424795,242.504039930891,11.7838134639064,0.00754158504649157,0.00887318740822291,0.00429205206750632,0.0275165314807831,-0.0158712952636388,0.0116452362171443,32155.5798198824,24441.0615020061,763.018816491059
1.05,0.473,179.656745866962,252.858563867359,202.53557285898,10.4823600440606,0.00674832157446238,0.00994493040479445,0.00570341090348262,0.031562924153997,-0.0177883272069525,0.0137745969470446,30012.7328883427,22812.2121154207,712.171264097866
1.2,0.462,175.776013006663,226.201106951837,166.60609754754,9.23596385302945,0.00595718173447477,0.0108978431529647,0.00726661892031456,0.035404559087371,-0.019492814428935,0.015911744658436,27967.2679084767,21257.3882954619,663.634485198105
1.35,0.451,171.271583213911,200.172537235294,134.628074233505,8.0475738377403,0.00517463532511723,0.0117327294324341,0.00896391186421948,0.0390203905678483,-0.0209861932659277,0.0180341973019206,26016.9201837339,19774.8685173244,617.354740873324
1.5,0.44,166.092720309316,174.870214471052,106.499867855529,6.92014173049851,0.00440821202400736,0.0124514429836185,0.0107777247954234,0.042388581127656,-0.0222717780084219,0.0201168031192341,24159.4250175638,18362.9312562029,573.278292205071
1.65,0.429,160.174018860633,150.400209033306,82.1045860927022,5.85667584779368,0.00366660806718986,0.0130570544904583,0.0126908621059792,0.0454866884741606,-0.0233550596118634,0.0221316288622972,22392.5177134158,17019.8549872922,531.351400274894
1.8,0.418,153.429882849634,126.879916405036,61.3085766848265,4.86031325937599,0.00295977470737823,0.0135540331985509,0.0146866936826549,0.0482919713631402,-0.0242440306002644,0.0240479407628758,20713.9335747394,15743.918185787,491.52032616434
1.95,0.407,145.745770571933,104.441742398419,43.9594522745674,3.93442161197156,0.00229896524842762,0.0139484386952363,0.0167493790746889,0.0507818728206943,-0.0249495281651332,0.0258323446555611,19121.407904984,14533.399326882,453.731330954959
2.1,0.396,136.963565896297,83.2385421633013,29.8834309324384,3.08275085658874,0.00169670020157898,0.0142481136039868,0.0188641204971306,0.052934772788848,-0.0254855789228615,0.0274491938659865,17612.676007599,13386.5768857719,417.930675728298
2.25,0.385,126.855410533095,63.4521189310969,18.8816313503586,2.30967406796242,0.00116657889042447,0.0144628595358871,0.0210174434826212,0.0547311617786574,-0.0258697137512411,0.0288614480274163,16185.473186034,12301.7293376516,384.064621565906
2.4,0.374,115.072412137225,45.3075322308229,10.7246575132146,1.6206009540032,0.000722805890496099,0.0146045633944561,0.0231975002023969,0.0561555009563946,-0.0261231938523962,0.0300323071039983,14837.5347437383,11277.1351577156,352.07942954933
2.55,0.363,101.030257565281,29.0998320031349,5.14410519566774,1.0227679617368,0.000379174348648204,0.0146872119123919,0.0253943833504105,0.0571992783199737,-0.0262710369219399,0.0309282413980338,13566.5959841614,10311.0728211588,321.921360760119
2.7,0.352,83.5981692826047,15.2526999895434,1.81766529621686,0.527013918609246,0.000146936755540935,0.0147266702452061,0.0276004245122304,0.0578663974858641,-0.0263416212932793,0.0315247761925848,12370.3922107527,9401.8208031759,293.53667627982
2.85,0.341,59.8855819556539,4.49141864667404,0.336856398500553,0.153157375851585,2.99516866901104e-05,0.0147399368783735,0.0298104200464989,0.0581842709108482,-0.0263653533067422,0.031818917604106,11246.6587269617,8547.65757896159,266.871637189982
3,0.33,0,0,0,0,0,0.0147421832548752,0.0320215790564925,0.058261268069045,-0.0263693717744615,0.0318918962945835,10193.1308362379,7746.86162371061,241.872504572154
